artists,origin,image_link
A Martin,United States,https://commons.wikimedia.org/wiki/Special:FilePath/A_Martinez_and_Leslie_Bryans_at_the_2nd_Annual_Carney_Awards_at_Paley_Center_in_Beverly_Hills.png
Alberto Giacometti,Switzerland,https://commons.wikimedia.org/wiki/Special:FilePath/Emmy_Andriesse_-_Alberto_Giacometti_(Ende_1940er_PK-F-A.06801)_cut.jpg
Alexander Calder,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Alexander_Calder_1968.jpg
Amedeo Modigliani,Kingdom of Italy,https://commons.wikimedia.org/wiki/Special:FilePath/Amedeo_Modigliani_1918_restored.jpg
Andy Warhol,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Andy_Warhol_at_the_Jewish_Museum_(by_Bernard_Gotfryd)_–_LOC.jpg
Auguste Rodin,France,https://commons.wikimedia.org/wiki/Special:FilePath/Auguste_Rodin_fotografato_da_Nadar_nel_1891.jpg
Banksy,United Kingdom,https://commons.wikimedia.org/wiki/Special:FilePath/Banksy_signature-removebg-preview.png
Claude Monet,France,https://commons.wikimedia.org/wiki/Special:FilePath/Claude_Monet_1899_Nadar_crop.jpg
Constantin Brancusi,,
Damien Hirst,United Kingdom,https://commons.wikimedia.org/wiki/Special:FilePath/Damien-Hirst-1_(2007).jpg
Diego Rivera,Mexico,https://commons.wikimedia.org/wiki/Special:FilePath/Diego_Rivera_-_Google_Art_Project_(cropped).jpg
Edgar Degas,France,https://commons.wikimedia.org/wiki/Special:FilePath/Edgar_Degas_self_portrait_1855FXD.jpg
Edouard Manet,France,"https://commons.wikimedia.org/wiki/Special:FilePath/Édouard_Manet,_en_buste,_de_face_-_Nadar.jpg"
Edvard Munch,Norway,https://commons.wikimedia.org/wiki/Special:FilePath/Edvard_Munch_1933-2.jpg
Eugï¿½ne Delacroix,,
Fernand Lï¿½ger,,
Francis Bacon,Ireland,https://commons.wikimedia.org/wiki/Special:FilePath/Bacon_by_Gray_257.jpg
Francisco de Goya,Spain,https://commons.wikimedia.org/wiki/Special:FilePath/Vicente_López_Portaña_-_el_pintor_Francisco_de_Goya.jpg
Georges Braque,France,"https://commons.wikimedia.org/wiki/Special:FilePath/Georges_Braque,_1908,_photograph_published_in_Gelett_Burgess,_The_Wild_Men_of_Paris,_Architectural_Record,_May_1910.jpg"
Gerhard Richter,Germany,"https://commons.wikimedia.org/wiki/Special:FilePath/Gerhard_Richter,_Prague_(2017).jpg"
Gustav Klimt,Austrian Empire,https://commons.wikimedia.org/wiki/Special:FilePath/Klimt.jpg
Henri Matisse,France,https://commons.wikimedia.org/wiki/Special:FilePath/Portrait_of_Henri_Matisse_1933_May_20.jpg
Henry Moore,United Kingdom,https://commons.wikimedia.org/wiki/Special:FilePath/Henry_Moore_5_Allan_Warren.jpg
Jackson Pollock,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Jackson_Pollock_by_Hans_Namuth.jpg
Jan Vermeer,Dutch Republic,https://commons.wikimedia.org/wiki/Special:FilePath/Cropped_version_of_Jan_Vermeer_van_Delft_002.jpg
Joan Mirï¿½,,
Leonardo Da Vinci,Republic of Florence,https://commons.wikimedia.org/wiki/Special:FilePath/Francesco_Melzi_-_Portrait_of_Leonardo.png
Luca Longhi,Italy,
Marc Chagall,France,https://commons.wikimedia.org/wiki/Special:FilePath/Shagal_Choumoff.jpg
Marcel Duchamp,France,https://commons.wikimedia.org/wiki/Special:FilePath/Marcel_Duchamp_01.jpg
Maurizio Cattelan,Italy,https://commons.wikimedia.org/wiki/Special:FilePath/Museum_Boijmans_Van_Beuningen_2009-02-15_-_interior_-_02.jpg
Max Ernst,Cuba,https://commons.wikimedia.org/wiki/Special:FilePath/Max_Ernst_1968.jpg
Pablo Picasso,Spain,https://commons.wikimedia.org/wiki/Special:FilePath/Pablo_picasso_1.jpg
Paul Cï¿½zanne,,
Paul Gauguin,France,https://commons.wikimedia.org/wiki/Special:FilePath/Paul_Gauguin_1891.png
Paul Klee,Kingdom of Prussia,https://commons.wikimedia.org/wiki/Special:FilePath/Paul_Klee_1911.jpg
Peter Paul Rubens,Spanish Netherlands,https://commons.wikimedia.org/wiki/Special:FilePath/Sir_Peter_Paul_Rubens_-_Portrait_of_the_Artist_-_Google_Art_Project.jpg
Pierre-Auguste Renoir,France,"https://commons.wikimedia.org/wiki/Special:FilePath/Pierre_Auguste_Renoir,_uncropped_image.jpg"
Piet Mondrian,Kingdom of the Netherlands,https://commons.wikimedia.org/wiki/Special:FilePath/Piet_Mondriaan.jpg
Raphaello,,
Renï¿½ Magritte,,
Richard Serra,United States,"https://commons.wikimedia.org/wiki/Special:FilePath/Oliver_Mark_-_Richard_Serra,_Siegen_2005.jpg"
Salvador Dalï¿½ï¿½,,
Takashi Murakami,Japan,https://commons.wikimedia.org/wiki/Special:FilePath/Takashi_Murakami_at_Versailles_Sept._2010_(1).jpg
Vincent van Gogh,Kingdom of the Netherlands,https://commons.wikimedia.org/wiki/Special:FilePath/Self-portrait_-_Vincent_van_Gogh.jpg
Wassily Kandinsky,Russian Empire,https://commons.wikimedia.org/wiki/Special:FilePath/Wassily_kandinsky.jpg
Willem de Kooning,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Willem_de_Kooning_in_his_studio.jpg
